MAG	GTDB	37mark	CheckM_Comp	CheckM_Cont	GenomeSize_MB	Abundance_CoverM
13_May_SF_Bin3	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	Gemmatimonadetes	59.9	1.65	3.4	0.035
8_1_Oct_SF_Bin61	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	Gemmatimonadetes	96.64	3.3	3.943	0.045
8_1_July_SF_Bin64	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__SZUA-318;s__	Gemmatimonadetes	62.39	2.2	2.844	0.035
13_May_SF_Bin45	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__UBA2589;s__	Gemmatimonadetes	85.81	6.17	3.621	0.059
13_July_SF_Bin5	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__UBA2982;s__	Gemmatimonadetes	78.79	9.41	3.457	0.046
13_May_SF_Bin31	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__UBA2982;s__	Gemmatimonadetes	92.18	2.2	3.903	0.060
13_May_SF_Bin18	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__WVZY01;f__;g__;s__	Delphibacteria	83.45	2.45	3.677	0.034
13_May_SF_Bin48	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__WVZY01;f__;g__;s__	Delphibacteria	83.12	6.61	2.833	0.056
4_1_Jan_SF_Bin19	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__WVZY01;f__;g__;s__	Delphibacteria	97.2	3.3	3.765	0.053
4_1_May_SF_Bin56	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__WVZY01;f__;g__;s__	Delphibacteria	100	3.3	3.734	0.053
4_1_Oct_SF_Bin54	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__WVZY01;f__;g__;s__	Delphibacteria	100	3.3	3.798	0.053
8_1_July_SF_Bin8	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__WVZY01;f__;g__;s__	Delphibacteria	55.49	1.1	1.805	0.043
13_May_SF_Bin102	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__	Proteobacteria; Deltaproteobacteria	90.97	4.56	4.144	0.124
13_May_SF_Bin90	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__	Proteobacteria; Deltaproteobacteria	85.07	1.61	3.33	0.061
4_1_Oct_SF_Bin12	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__	Proteobacteria; Deltaproteobacteria	72.17	1.29	2.95	0.059
8_1_July_SF_Bin58	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__	Proteobacteria; Deltaproteobacteria	83.55	3.11	3.428	0.068
21_Jan_SF_Bin49	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA6930;g__;s__	Proteobacteria; Deltaproteobacteria	50.49	1.75	3.22	0.052
8_1_Oct_SF_Bin19	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__JAFGIB01;g__;s__	Proteobacteria; Deltaproteobacteria	97.42	6.13	8.162	0.056
13_July_SF_Bin27	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	Proteobacteria; Deltaproteobacteria	94.95	3.46	4.167	0.042
13_May_SF_Bin32	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	Proteobacteria; Deltaproteobacteria	95.27	1.94	4.195	0.042
21_Jan_SF_Bin46	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	Proteobacteria; Deltaproteobacteria	94.41	2.58	4.227	0.039
21_Jan_SF_Bin73	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	Proteobacteria; Deltaproteobacteria	66.93	6.4	3.41	0.038
21_Oct_SF_Bin11	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	Proteobacteria; Deltaproteobacteria	78.12	3.94	3.7	0.034
8_1_July_SF_Bin41	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	Proteobacteria; Deltaproteobacteria	60.37	2.87	4.047	0.037
21_Jan_SF_Bin28	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__	Proteobacteria; Deltaproteobacteria	93.98	4.84	4.286	0.091
21_May_SF_Bin23	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__	Proteobacteria; Deltaproteobacteria	51.6	0.07	2.334	0.141
4_1_May_SF_Bin28	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__	Proteobacteria; Deltaproteobacteria	63.84	3.22	2.424	0.069
13_May_SF_Bin42	d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-226;s__	Nitrospinae	65.33	6.84	1.677	0.105
8_1_Jan_SF_Bin86	d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-226;s__	Nitrospinae	78.1	2.9	2.166	0.175
8_1_Oct_SF_Bin69	d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-226;s__	Nitrospinae	96.34	6.41	3.205	0.074
8_1_Oct_SF_Bin83	d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-226;s__	Nitrospinae	59.96	0.05	1.484	0.151
8_1_July_SF_Bin34	d__Bacteria;p__Nitrospinota;c__UBA7883;o__JACRGQ01;f__;g__;s__	Nitrospinae	97.72	7.08	2.822	0.037
4_1_July_SF_Bin3	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__;s__	Nitrospinae	57.23	5.17	2.84	0.072
8_1_Jan_SF_Bin9	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__;s__	Nitrospinae	74.78	4.02	2.369	0.030
8_1_July_SF_Bin48	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__;s__	Nitrospinae	90.95	2.78	3.086	0.030
8_1_May_SF_Bin11	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__;s__	Nitrospinae	93.59	4.49	3.254	0.190
8_1_May_SF_Bin17	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__;s__	Nitrospinae	83.46	6.24	2.739	0.027
8_1_Oct_SF_Bin59	d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__;s__	Nitrospinae	91.03	2.74	3.035	0.037
4_1_Jan_SF_Bin16	d__Bacteria;p__Nitrospirota;c__;o__;f__;g__;s__	Nitrospirae	96.08	8.64	2.776	0.030
4_1_July_SF_Bin45	d__Bacteria;p__Nitrospirota;c__JACRHL01;o__JACRHL01;f__JACRHL01;g__;s__	Nitrospirae	99.24	0	2.563	0.087
8_1_July_SF_Bin21	d__Bacteria;p__Nitrospirota;c__JACRHL01;o__JACRHL01;f__JACRHL01;g__;s__	Nitrospirae	98.64	1.36	2.958	0.054
4_1_Jan_SF_Bin27	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	95.85	2.83	3.885	0.128
4_1_Jan_SF_Bin42	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	91.99	6.01	3.501	0.061
4_1_Jan_SF_Bin53	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	86.16	3.94	3.594	0.102
4_1_July_SF_Bin50	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	92.22	3.74	3.357	0.060
4_1_May_SF_Bin36	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	85.17	2.73	3.506	0.100
4_1_May_SF_Bin53	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	89.03	1.92	3.331	0.058
4_1_Oct_SF_Bin23	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	94.03	3.96	4.201	0.135
4_1_Oct_SF_Bin30	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	94.03	8.96	3.526	0.060
4_1_Oct_SF_Bin9	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	77.99	1.94	2.38	0.081
8_1_July_SF_Bin45	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	95.55	2.83	3.727	0.046
8_1_Oct_SF_Bin54	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	96.76	6.09	4.145	0.037
8_1_Oct_SF_Bin63	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	82.22	8.97	3.062	0.067
4_1_Jan_SF_Bin41	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	94.44	3.03	3.574	0.042
4_1_Jan_SF_Bin51	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	81.34	2.32	2.177	0.083
4_1_July_SF_Bin51	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	81.37	4.95	2.22	0.099
4_1_July_SF_Bin53	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	95.85	2.83	4.206	0.138
4_1_May_SF_Bin38	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	60.65	5.56	1.938	0.113
4_1_May_SF_Bin59	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	96.76	2.83	4.123	0.133
4_1_May_SF_Bin6	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	86.52	5.74	2.877	0.091
4_1_May_SF_Bin63	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	94.44	2.78	3.657	0.043
4_1_Oct_SF_Bin26	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	78.2	2.73	2.781	0.039
4_1_Oct_SF_Bin52	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	86.08	4.12	3.612	0.100
8_1_July_SF_Bin71	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	72.71	6.65	2.1	0.097
8_1_May_SF_Bin16	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	61.81	7.78	2.887	0.187
8_1_Oct_SF_Bin26	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	Nitrospirae	84.41	5.56	3.376	0.049
4_1_July_SF_Bin24	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__	Nitrospirae	74.18	3.94	3.009	0.035
13_July_SF_Bin24	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	59.81	0	2.885	0.070
21_July_SF_Bin14	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	55.91	9.86	2.715	0.158
4_1_Jan_SF_Bin63	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	90.8	9.18	3.389	0.038
4_1_May_SF_Bin33	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	90.8	7.73	3.458	0.037
4_1_Oct_SF_Bin11	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	59.43	3.41	1.798	0.029
8_1_Jan_SF_Bin68	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	90.93	9.02	3.678	0.076
8_1_July_SF_Bin60	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	70.69	0.91	3.07	0.113
8_1_July_SF_Bin61	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	71.05	7.27	3.022	0.043
8_1_July_SF_Bin63	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	82.44	7.92	3.446	0.068
8_1_Oct_SF_Bin49	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	76.84	0.91	2.783	0.065
8_1_Oct_SF_Bin74	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__UBA8639;s__	Nitrospirae	80.55	4.6	3.219	0.066
8_1_Jan_SF_Bin13	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__VGWZ01;s__	Nitrospirae	79.56	4.55	2.231	0.024
8_1_Oct_SF_Bin79	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__VGWZ01;s__	Nitrospirae	83.79	4.32	2.16	0.022
4_1_July_SF_Bin47	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__GW-Nitrospira-1;s__	Nitrospirae	89.9	3.64	3.04	0.026
4_1_Jan_SF_Bin13	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__;s__	Nitrospirae	63.49	2.73	1.817	0.040
4_1_July_SF_Bin20	d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__	Nitrospirae	98.64	0.3	3.918	0.040
13_Jan_SF_Bin21	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA4473;f__UBA4473;g__;s__	Peregrinibacteria	58.91	2.27	1.028	0.025
8_1_Oct_SF_Bin107	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UM-FILTER-43-11;f__UM-FILTER-43-11;g__;s__	Peregrinibacteria	60.38	7.65	0.961	0.018
8_1_July_SF_Bin25	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__;s__	Pacebacteria	64.96	2.14	1.083	0.025
4_1_May_SF_Bin64	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA9337;g__;s__	Moranbacteria	72.57	2.57	1.027	0.031
8_1_Jan_SF_Bin80	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA1006;g__;s__	Nomurabacteria	76.15	1.72	0.652	0.027
4_1_July_SF_Bin64	d__Bacteria;p__Patescibacteria;c__UBA1384;o__UBA1384;f__DTJR01;g__;s__	Berkelbacteria	68.15	0	0.794	0.027
21_Jan_SF_Bin11	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Zrk34;g__;s__	Planctomycetes	65.05	1.24	2.996	0.041
4_1_July_SF_Bin34	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalosphaeraceae;g__4572-13;s__	Planctomycetes	97.73	0	3.01	0.064
4_1_July_SF_Bin52	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__CS2-K091;s__	Planctomycetes	87.15	3.51	4.834	0.054
21_Jan_SF_Bin2	d__Bacteria;p__Planctomycetota;c__PLA2;o__PLA2;f__PLA2;g__;s__	Planctomycetes	50.91	7.35	2.836	0.045
21_Jan_SF_Bin71	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA7805;g__CS4-C045;s__	Planctomycetes	68.44	0	3.693	0.055
13_May_SF_Bin40	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__;g__;s__	Proteobacteria; Alphaproteobacteria	88.88	9.45	4.825	0.061
21_Jan_SF_Bin24	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae;g__CADEGR01;s__	Proteobacteria; Alphaproteobacteria	84.78	7.31	6.904	0.042
13_May_SF_Bin81	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	Proteobacteria; Alphaproteobacteria	87.02	7.72	4.617	0.086
21_Jan_SF_Bin10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	Proteobacteria; Alphaproteobacteria	91.68	4.65	4.792	0.041
21_May_SF_Bin33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	Proteobacteria; Alphaproteobacteria	62.64	1.3	3.083	0.038
24_Jan_SF_Bin23	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	Proteobacteria; Alphaproteobacteria	90.94	5.89	4.895	0.042
24_July_SF_Bin17	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	Proteobacteria; Alphaproteobacteria	72.77	8.07	4.467	0.040
24_Oct_SF_Bin19	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	Proteobacteria; Alphaproteobacteria	95.72	4.17	5.358	0.044
8_1_Oct_SF_Bin23	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1672;s__	Proteobacteria; Alphaproteobacteria	95.01	1.88	2.15	0.019
21_Jan_SF_Bin9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__JABDJG01;s__	Proteobacteria; Alphaproteobacteria	54.26	1.34	3.225	0.059
13_July_SF_Bin6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Afifellaceae;g__;s__	Proteobacteria; Alphaproteobacteria	50.22	3.36	1.67	0.163
21_Jan_SF_Bin12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__;s__	Proteobacteria; Alphaproteobacteria	75.07	9.76	3.315	0.036
8_1_Jan_SF_Bin88	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	Proteobacteria; Alphaproteobacteria	52.83	1.75	2.227	0.033
8_1_July_SF_Bin31	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	Proteobacteria; Alphaproteobacteria	80.64	2.64	3.143	0.039
21_Jan_SF_Bin22	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;s__	Proteobacteria; Alphaproteobacteria	97.5	0.8	4.44	0.061
8_1_Oct_SF_Bin92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__S012-89;s__	Proteobacteria; Alphaproteobacteria	56.54	2.87	1.893	0.040
13_May_SF_Bin5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA996;s__	Proteobacteria; Alphaproteobacteria	76	1.42	2.661	0.088
8_1_Oct_SF_Bin68	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__2-02-FULL-58-16;g__;s__	Proteobacteria; Alphaproteobacteria	79.53	4.2	2.967	0.032
13_Jan_SF_Bin10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetovibrionaceae;g__;s__	Proteobacteria; Alphaproteobacteria	55.12	1.27	1.034	0.032
8_1_Jan_SF_Bin18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetovibrionaceae;g__;s__	Proteobacteria; Alphaproteobacteria	88.06	4.51	2.108	0.042
8_1_Jan_SF_Bin95	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetovibrionaceae;g__;s__	Proteobacteria; Alphaproteobacteria	89.6	6.12	1.865	0.092
8_1_Oct_SF_Bin8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetovibrionaceae;g__;s__	Proteobacteria; Alphaproteobacteria	55.86	7.76	1.612	0.066
8_1_Oct_SF_Bin90	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__;s__	Proteobacteria; Alphaproteobacteria	73.11	1.46	0.938	0.034
13_May_SF_Bin34	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SMXQ01;f__SMXQ01;g__SMXQ01;s__	Proteobacteria; Alphaproteobacteria	94.35	6.3	4.093	0.066
21_Jan_SF_Bin60	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__JABDJY01;s__	Proteobacteria; Alphaproteobacteria	51.09	3.04	2.122	0.047
13_May_SF_Bin13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__JADFVY01;g__JADFVY01;s__	Proteobacteria; Alphaproteobacteria	87.39	8.3	3.819	0.157
8_1_Jan_SF_Bin60	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__JADFVY01;g__JADFVY01;s__	Proteobacteria; Alphaproteobacteria	69.22	3.82	2.319	0.088
8_1_July_SF_Bin3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__JADFVY01;g__JADFVY01;s__	Proteobacteria; Alphaproteobacteria	77.88	1.2	3.238	0.100
21_Jan_SF_Bin55	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__	Proteobacteria; Alphaproteobacteria	92.9	3.19	4.85	0.057
21_Jan_SF_Bin47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SPGG2;g__SPGG2;s__	Proteobacteria; Gammaproteobacteria	92.38	2.44	4.466	0.030
13_Jan_SF_Bin62	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__	Proteobacteria; Gammaproteobacteria	83.18	2.68	1.849	0.033
13_July_SF_Bin52	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__	Proteobacteria; Gammaproteobacteria	94.39	2.54	2.37	0.035
13_May_SF_Bin71	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__	Proteobacteria; Gammaproteobacteria	95.02	3.56	2.454	0.037
13_May_SF_Bin88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__	Proteobacteria; Gammaproteobacteria	60.92	3.73	1.74	0.052
13_Oct_SF_Bin7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__	Proteobacteria; Gammaproteobacteria	79.71	2.91	1.966	0.040
8_1_July_SF_Bin13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__	Proteobacteria; Gammaproteobacteria	59.06	4.12	1.721	0.053
8_1_July_SF_Bin39	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__	Proteobacteria; Gammaproteobacteria	92.44	3.35	2.305	0.035
8_1_May_SF_Bin19	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SZUA-150;g__;s__	Proteobacteria; Gammaproteobacteria	68.5	3.3	2.13	0.034
8_1_Oct_SF_Bin102	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__SZUA-150;g__;s__	Proteobacteria; Gammaproteobacteria	96.95	1.83	2.958	0.068
4_1_July_SF_Bin12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__	Proteobacteria; Gammaproteobacteria	60.24	9.04	1.676	0.049
8_1_Jan_SF_Bin19	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__AKS1;f__AKS1;g__;s__	Proteobacteria; Gammaproteobacteria	94.82	2.49	2.421	0.082
8_1_Jan_SF_Bin75	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__AKS1;f__AKS1;g__;s__	Proteobacteria; Gammaproteobacteria	77.43	4.99	1.898	0.034
8_1_July_SF_Bin70	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__AKS1;f__AKS1;g__;s__	Proteobacteria; Gammaproteobacteria	57.77	1.69	1.294	0.057
