Genome	Taxonomy	Site	Month	S	C	O	Fe	N
8_1_Oct_SF_Bin101	Gammaproteobacteria	8_1	10	0.23	0.03	0.16	0.74	0.5
8_1_Oct_SF_Bin102	Gammaproteobacteria	8_1	10	0.52	0.05	0.4	0.76	0.69
8_1_Oct_SF_Bin103	Bathyarchaeota	8_1	10	0.31	0.29	0.1	0.05	0.34
8_1_Oct_SF_Bin104	Gammaproteobacteria	8_1	10	0.57	0.06	0.44	0.76	0.6
8_1_Oct_SF_Bin105	Gammaproteobacteria	8_1	10	0.26	0.16	0.34	0.42	0.55
8_1_Oct_SF_Bin107	Peregrinibacteria	8_1	10	0.01	0.1	0.12	0.02	0.06
8_1_Oct_SF_Bin109	Bacteroidetes	8_1	10	0.13	0.07	0.31	0.41	0.41
8_1_Oct_SF_Bin11	Bacteroidetes	8_1	10	0.04	0	0.15	0.36	0.44
8_1_Oct_SF_Bin111	Gammaproteobacteria	8_1	10	0.6	0.07	0.45	0.71	0.65
8_1_Oct_SF_Bin13	Chloroflexi	8_1	10	0.43	0.11	0.03	0.67	0.41
8_1_Oct_SF_Bin14	Bacteroidetes	8_1	10	0.1	0.04	0.27	0.58	0.5
8_1_Oct_SF_Bin17	Oligoflexia	8_1	10	0.23	0.1	0.11	0.42	0.28
8_1_Oct_SF_Bin18	Gammaproteobacteria	8_1	10	0.46	0.06	0.49	0.74	0.59
8_1_Oct_SF_Bin19	Deltaproteobacteria	8_1	10	0.02	0.03	0.45	0.57	0.62
8_1_Oct_SF_Bin20	Aminicenantes	8_1	10	0.39	0.09	0.08	0.17	0.35
8_1_Oct_SF_Bin23	Alphaproteobacteria	8_1	10	0.04	0.03	0.2	0.39	0.44
8_1_Oct_SF_Bin24	Spirochaetes	8_1	10	0.32	0.06	0.42	0.61	0.59
8_1_Oct_SF_Bin25	Spirochaetes	8_1	10	0.32	0.06	0.34	0.68	0.59
8_1_Oct_SF_Bin26	Nitrospirae	8_1	10	0.32	0.05	0.44	0.67	0.67
8_1_Oct_SF_Bin28	Gammaproteobacteria	8_1	10	0.51	0.03	0.36	0.73	0.65
8_1_Oct_SF_Bin29	Bathyarchaeota	8_1	10	0.27	0.29	0.02	0.08	0.27
8_1_Oct_SF_Bin3	Gammaproteobacteria	8_1	10	0.67	0.05	0.47	0.63	0.66
8_1_Oct_SF_Bin32	Aminicenantes	8_1	10	0.5	0.11	0.12	0.63	0.45
8_1_Oct_SF_Bin33	Aigarchaeota	8_1	10	0.33	0.32	0.03	0.05	0.35
8_1_Oct_SF_Bin34	Gammaproteobacteria	8_1	10	0.46	0.04	0.24	0.72	0.55
8_1_Oct_SF_Bin35	Bathyarchaeota	8_1	10	0.32	0.32	0.2	0.15	0.39
8_1_Oct_SF_Bin36	Bathyarchaeota	8_1	10	0.31	0.33	0.15	0.09	0.4
8_1_Oct_SF_Bin37	Hadesarchaea	8_1	10	0.19	0.12	0.09	0.17	0.26
8_1_Oct_SF_Bin39	WOR-3	8_1	10	0.17	0.07	0.01	0.03	0.3
8_1_Oct_SF_Bin4	Spirochaetes	8_1	10	0.42	0.08	0.28	0.46	0.42
8_1_Oct_SF_Bin41	Bathyarchaeota	8_1	10	0.42	0.22	0.4	0.11	0.18
8_1_Oct_SF_Bin42	Chloroflexi	8_1	10	0.41	0.13	0.08	0.13	0.39
8_1_Oct_SF_Bin45	Thaumarchaeota	8_1	10	0.18	0.06	0.3	0.25	0.34
8_1_Oct_SF_Bin47	Gammaproteobacteria	8_1	10	0.52	0.07	0.51	0.64	0.66
8_1_Oct_SF_Bin49	Nitrospirae	8_1	10	0.3	0.07	0.37	0.54	0.57
8_1_Oct_SF_Bin52	Bathyarchaeota	8_1	10	0.35	0.33	0.06	0.08	0.34
8_1_Oct_SF_Bin53	Bathyarchaeota	8_1	10	0.34	0.31	0.07	0.13	0.32
8_1_Oct_SF_Bin54	Nitrospirae	8_1	10	0.3	0.06	0.35	0.55	0.67
8_1_Oct_SF_Bin55	Elusimicrobia	8_1	10	0.28	0.12	0.15	0.11	0.27
8_1_Oct_SF_Bin56	Betaproteobacteria	8_1	10	0.46	0.06	0.47	0.44	0.65
8_1_Oct_SF_Bin59	Nitrospinae	8_1	10	0.58	0.22	0.39	0.79	0.62
8_1_Oct_SF_Bin61	Gemmatimonadetes	8_1	10	0.2	0.04	0.15	0.73	0.58
8_1_Oct_SF_Bin62	Bathyarchaeota	8_1	10	0.3	0.27	0.01	0.1	0.33
8_1_Oct_SF_Bin63	Nitrospirae	8_1	10	0.35	0.06	0.43	0.55	0.72
8_1_Oct_SF_Bin66	Gammaproteobacteria	8_1	10	0.08	0.03	0.39	0.92	0.48
8_1_Oct_SF_Bin67	Aminicenantes	8_1	10	0.48	0.1	0.09	0.66	0.49
8_1_Oct_SF_Bin68	Alphaproteobacteria	8_1	10	0.35	0.03	0.38	0.85	0.57
8_1_Oct_SF_Bin69	Nitrospinae	8_1	10	0.22	0.04	0.26	0.76	0.63
8_1_Oct_SF_Bin71	Bathyarchaeota	8_1	10	0.3	0.23	0.42	0.04	0.27
8_1_Oct_SF_Bin72	Deltaproteobacteria	8_1	10	0.61	0.07	0.39	0.64	0.6
8_1_Oct_SF_Bin73	Gammaproteobacteria	8_1	10	0.56	0.04	0.38	0.64	0.66
8_1_Oct_SF_Bin74	Nitrospirae	8_1	10	0.33	0.07	0.3	0.54	0.56
8_1_Oct_SF_Bin77	Gammaproteobacteria	8_1	10	0.47	0.04	0.47	0.67	0.63
8_1_Oct_SF_Bin79	Nitrospirae	8_1	10	0.66	0.16	0.25	0.58	0.58
8_1_Oct_SF_Bin8	Alphaproteobacteria	8_1	10	0.36	0.02	0.24	0.44	0.44
8_1_Oct_SF_Bin80	Bathyarchaeota	8_1	10	0.21	0.24	0.11	0.08	0.17
8_1_Oct_SF_Bin81	Bathyarchaeota	8_1	10	0.28	0.33	0.03	0.11	0.36
8_1_Oct_SF_Bin82	Chloroflexi	8_1	10	0.24	0.14	0.01	0.08	0.26
8_1_Oct_SF_Bin83	Nitrospinae	8_1	10	0.12	0.06	0.33	0.43	0.5
8_1_Oct_SF_Bin84	Bathyarchaeota	8_1	10	0.49	0.34	0.11	0.02	0.38
8_1_Oct_SF_Bin85	Bathyarchaeota	8_1	10	0.31	0.2	0.49	0	0.24
8_1_Oct_SF_Bin87	Bathyarchaeota	8_1	10	0.34	0.32	0.12	0.04	0.35
8_1_Oct_SF_Bin90	Alphaproteobacteria	8_1	10	0.03	0.03	0.1	0.29	0.29
8_1_Oct_SF_Bin91	Gemmatimonadetes	8_1	10	0.14	0.03	0.18	0.66	0.44
8_1_Oct_SF_Bin92	Alphaproteobacteria	8_1	10	0.21	0.02	0.37	0.36	0.51
8_1_Oct_SF_Bin93	Bathyarchaeota	8_1	10	0.44	0.28	0.01	0.15	0.38
8_1_Oct_SF_Bin95	Gammaproteobacteria	8_1	10	0.59	0.05	0.31	0.63	0.61
8_1_Oct_SF_Bin96	Bathyarchaeota	8_1	10	0.27	0.35	0.06	0	0.34
8_1_Oct_SF_Bin98	Gammaproteobacteria	8_1	10	0.64	0.06	0.47	0.72	0.71
